model,family,tier,task,frontier_band,guttman_cr,scalability,date_years,release_date,frontier_age_lo,frontier_age_mid,spearman_rho,spearman_p
anthropic/claude-fable-5,Claude,Claude Fable,tom_12dim_freeresponse,10-12 yrs,1,1,2.4777549623545516,2026-06-24,10,11,NA,NA
anthropic/claude-fable-5,Claude,Claude Fable,tom_12dim_mcq,4-6 yrs,0.8214,0.6428,2.4777549623545516,2026-06-24,4,5,NA,NA
anthropic/claude-haiku-4-5-20251001,Claude,Claude Haiku,tom_12dim_freeresponse,10-12 yrs,0.978,0.9559,1.749486652977413,2025-10-01,10,11,NA,NA
anthropic/claude-haiku-4-5-20251001,Claude,Claude Haiku,tom_12dim_mcq,4-6 yrs,0.8214,0.6428,1.749486652977413,2025-10-01,4,5,NA,NA
anthropic/claude-opus-4-5-20251101,Claude,Claude Opus,tom_12dim_freeresponse,10-12 yrs,0.9825,0.9651,1.834360027378508,2025-11-01,10,11,0.1604,0.7044456648720676
anthropic/claude-opus-4-5-20251101,Claude,Claude Opus,tom_12dim_mcq,4-5 yrs,0.7995,0.599,1.834360027378508,2025-11-01,4,4.5,0.1604,0.7044456648720676
anthropic/claude-opus-4-6,Claude,Claude Opus,tom_12dim_freeresponse,10-12 yrs,0.9825,0.9651,2.1711156741957565,2026-03-04,10,11,0.1604,0.7044456648720676
anthropic/claude-opus-4-6,Claude,Claude Opus,tom_12dim_mcq,4-6 yrs,0.8214,0.6428,2.1711156741957565,2026-03-04,4,5,0.1604,0.7044456648720676
anthropic/claude-opus-4-7,Claude,Claude Opus,tom_12dim_freeresponse,10-12 yrs,1,1,2.3874058863791925,2026-05-22,10,11,0.1604,0.7044456648720676
anthropic/claude-opus-4-7,Claude,Claude Opus,tom_12dim_mcq,4-6 yrs,0.8214,0.6428,2.3874058863791925,2026-05-22,4,5,0.1604,0.7044456648720676
anthropic/claude-opus-4-8,Claude,Claude Opus,tom_12dim_freeresponse,10-12 yrs,1,1,2.521560574948665,2026-07-10,10,11,0.1604,0.7044456648720676
anthropic/claude-opus-4-8,Claude,Claude Opus,tom_12dim_mcq,4-6 yrs,0.8214,0.6428,2.521560574948665,2026-07-10,4,5,0.1604,0.7044456648720676
anthropic/claude-sonnet-4-5-20250929,Claude,Claude Sonnet,tom_12dim_freeresponse,10-12 yrs,1,1,1.7440109514031483,2025-09-29,10,11,0,1
anthropic/claude-sonnet-4-5-20250929,Claude,Claude Sonnet,tom_12dim_mcq,4-6 yrs,0.8214,0.6428,1.7440109514031483,2025-09-29,4,5,0,1
anthropic/claude-sonnet-4-6,Claude,Claude Sonnet,tom_12dim_freeresponse,10-12 yrs,1,1,2.0369609856262834,2026-01-14,10,11,0,1
anthropic/claude-sonnet-4-6,Claude,Claude Sonnet,tom_12dim_mcq,NA,0.9182,0.8363,2.0369609856262834,2026-01-14,NA,NA,0,1
anthropic/claude-sonnet-5,Claude,Claude Sonnet,tom_12dim_freeresponse,10-12 yrs,1,1,2.4777549623545516,2026-06-24,10,11,0,1
anthropic/claude-sonnet-5,Claude,Claude Sonnet,tom_12dim_mcq,4-6 yrs,0.8214,0.6428,2.4777549623545516,2026-06-24,4,5,0,1
openai-api/local/deepseek/deepseek-llm-67b-chat,DeepSeek,DeepSeek V,tom_12dim_freeresponse,10-12 yrs,0.9285,0.857,-0.09034907597535936,2023-11-29,10,11,NA,NA
openai-api/local/deepseek/deepseek-llm-67b-chat,DeepSeek,DeepSeek V,tom_12dim_mcq,NA,0.904,0.8081,-0.09034907597535936,2023-11-29,NA,NA,NA,NA
openai-api/local/deepseek/deepseek-llm-7b-chat,DeepSeek,DeepSeek V,tom_12dim_freeresponse,10-12 yrs,0.8712,0.7423,-0.09034907597535936,2023-11-29,10,11,NA,NA
openai-api/local/deepseek/deepseek-llm-7b-chat,DeepSeek,DeepSeek V,tom_12dim_mcq,NA,1,1,-0.09034907597535936,2023-11-29,NA,NA,NA,NA
openai-api/local/google/gemma-7b-it,Gemma,Gemma large,tom_12dim_freeresponse,7-9 yrs,0.8529,0.7057,0.13963039014373715,2024-02-21,7,8,NA,NA
openai-api/local/google/gemma-7b-it,Gemma,Gemma large,tom_12dim_mcq,3-5 yrs,0.907,0.8139,0.13963039014373715,2024-02-21,3,4,NA,NA
openai-api/local/meta-llama/llama-3-70b-instruct,Llama,Llama large,tom_12dim_freeresponse,10-12 yrs,0.9534,0.9069,0.29568788501026694,2024-04-18,10,11,0,1
openai-api/local/meta-llama/llama-3-70b-instruct,Llama,Llama large,tom_12dim_mcq,4-6 yrs,0.8214,0.6428,0.29568788501026694,2024-04-18,4,5,0,1
openai-api/local/meta-llama/llama-3-8b-instruct,Llama,Llama small,tom_12dim_freeresponse,10-12 yrs,0.9418,0.8836,0.29568788501026694,2024-04-18,10,11,0,1
openai-api/local/meta-llama/llama-3-8b-instruct,Llama,Llama small,tom_12dim_mcq,3-5 yrs,0.8246,0.6492,0.29568788501026694,2024-04-18,3,4,0,1
openai-api/local/meta-llama/llama-3.1-8b-instruct,Llama,Llama small,tom_12dim_freeresponse,10-12 yrs,0.99,0.98,0.5585215605749486,2024-07-23,10,11,0,1
